SchoolDistrict,Graduates,In_Cohort,Rate,Year
Ketchikan Gateway Borough School District,136,163,0.8344,2021
Klawock City School District,7,8,0.875,2021
Kodiak Island Borough School District,137,169,0.8107,2021
Kuspuk School District,7,16,0.4375,2021
Lake and Peninsula Borough School District,23,27,0.8519,2021
Lower Kuskokwim School District,176,284,0.6197,2021
Lower Yukon School District,97,130,0.7462,2021
Matanuska-Susitna Borough School District,1050,1254,0.8373,2021
Mount Edgecumbe,74,75,0.9867,2021
Nenana City School District,85,189,0.4497,2021
Nome Public Schools,37,53,0.6981,2021
North Slope Borough School District,95,127,0.748,2021
Northwest Arctic Borough School District,92,133,0.6917,2021
Petersburg Borough School District,27,29,0.931,2021
Pribilof School District,0,1,0.0,2021
Saint Mary's School District,7,10,0.7,2021
Sitka School District,85,95,0.8947,2021
Skagway School District,6,11,0.5455,2021
Southeast Island School District,4,7,0.5714,2021
Southwest Region School District,27,35,0.7714,2021
Tanana City School District,2,2,1.0,2021
Unalaska City School District,24,26,0.9231,2021
Valdez City School District,39,51,0.7647,2021
Wrangell Public School District,14,20,0.7,2021
Yakutat School District,3,3,1.0,2021
Yukon-Koyukuk School District,175,285,0.614,2021
Yukon Flats School District,17,24,0.7083,2021
Yupiit School District,19,36,0.5278,2021
