Longitude,Latitude,Community,School,SchoolDistrict,Year,In_Cohort,Graduates,GraduationRate,K8Enrollment,HSEnrollment,TotalEnrollmentK12,Is_HighSchool,TotalTeacherCount,StudentTeacherRatio
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,Anchorage School District,2013,,,,395,0,395,No,25,17.7
-149.09408071,61.60720331,Palmer,Academy Charter School,Matanuska-Susitna Borough School District,2013,,,,238,0,238,No,18,19.1
-176.640203387,51.867664962,Adak,Adak School,Aleutian Region School District,2013,,,,14,1,15,Yes,4,5
-149.829872532,61.207023732,Anchorage,Airport Heights Elementary,Anchorage School District,2013,,,,328,0,328,No,23,15.1
-154.173244179,56.9468177750001,Akhiok,Akhiok School,Kodiak Island Borough School District,2013,,,,14,6,20,Yes,2,9.6
-161.449090795,60.913809244,Akiachak,Akiachak School,Yupiit School District,2013,,,,135,46,181,Yes,20,9.4
-161.23002391,60.9074919770001,Akiak,Akiak School,Yupiit School District,2013,,,,83,19,102,Yes,13,7.9
-162.519466063,60.894574671,Kasigluk,Akiuk Memorial School,Lower Kuskokwim School District,2013,,,,60,11,71,Yes,9,11.1
-162.519466063,60.894574671,Kasigluk,Akula Elitnaurvik School,Lower Kuskokwim School District,2013,,,,98,27,125,Yes,8,15.2
-165.776777641,54.1337647660001,Akutan,Akutan School,Aleutians East Borough School District,2013,,,,10,4,14,Yes,2,7
-160.034288564,70.6360944480001,Wainwright,Alak School,North Slope Borough School District,2013,,,,100,37,137,Yes,15,8.9
-164.621576459,62.687086047,Alakanuk,Alakanuk School,Lower Yukon School District,2013,,,,179,46,225,Yes,16,13.9
-149.832593331,61.1929544540001,Anchorage,Alaska Middle College School,(Not Available),2013,,,,0,37,37,Yes,(Not Available),(Not Available)
-149.804991646,61.1997721970001,Anchorage,Alaska Native Cultural Charter School,Anchorage School District,2013,,,,203,0,203,No,14,14.9
-142.985758994,63.3368597890001,Tok,Alaska REACH Academy,Alaska Gateway School District,2013,,,,40,29,69,Yes,1,80.1
-131.57724653,55.1262152410001,Wrangell,Alaska Virtual Academy,Wrangell Public School District,2013,,,,89,0,89,No,1,1644.5
-158.626155241,59.281203067,Aleknagik,Aleknagik School,Southwest Region School District,2013,,,,27,0,27,No,3,9.2
-160.475598673,55.351589017,Sand Point,Aleutians Correspondence Education School,Aleutians East Borough School District,2013,,,,2,1,3,Yes,0,0
-152.644474882,66.5632756000001,New Allakaket,Allakaket School,Yukon-Koyukuk School District,2013,,,,27,12,39,Yes,4,10.1
-149.524370471,61.3012472240001,Anchorage,Alpenglow Elementary,Anchorage School District,2013,,,,564,0,564,No,32,17.8
-147.692754975,64.8469044560001,Fairbanks,Alternative Learning Systems,Fairbanks North Star Borough School District,2013,,,,48,78,126,Yes,4,33.8
-157.859468758,67.0854282700001,Ambler,Ambler School,Northwest Arctic Borough School District,2013,,,,49,16,65,Yes,7,9.5
-149.494428487,61.578738458,Meadow Lakes,American Charter Academy,Matanuska-Susitna Borough School District,2013,,,,118,67,185,Yes,6,42.3
-147.073579222,64.6799297750001,Moose Creek,Anderson Elementary,Fairbanks North Star Borough School District,2013,,,,262,0,262,No,17,17.2
-149.18850625,64.3430846840001,Anderson,Anderson School,Denali Borough School District,2013,,,,13,10,23,Yes,7,5.3
-158.108702699,64.7178000930001,Nulato,Andrew K. Demoski School,Yukon-Koyukuk School District,2013,,,,28,12,40,Yes,7,6.8
-134.584679653,57.497714886,Angoon,Angoon School,Chatham School District,2013,,,,46,19,65,Yes,9,8.3
-159.550107486,61.5806004660001,Aniak,Aniak Jr/Sr High School,Kuspuk School District,2013,,,,19,40,59,Yes,8,9.6
-162.264821713,64.615953753,Elim,Aniguiin School,Bering Strait School District,2013,,,,65,19,84,Yes,12,8.3
-162.456606233,60.896473137,Nunapitchuk,Anna Tobeluk Memorial School,Lower Kuskokwim School District,2013,,,,155,28,183,Yes,16,13.9
-147.744791179,64.858111498,Fairbanks,Anne Wien Elementary,Fairbanks North Star Borough School District,2013,,,,378,0,378,No,33,14.2
-162.037097873,63.478579736,Saint Michael,Anthony A. Andrews School,Bering Strait School District,2013,,,,121,30,151,Yes,20,9.5
-165.406067741,64.5424718300001,Nome,Anvil City Science Academy,Nome School District,2013,,,,45,0,45,No,4,12.8
-161.043744202,66.8328621480001,Noorvik,Aqqaluk High/Noorvik Elementary,Northwest Arctic Borough School District,2013,,,,128,46,174,Yes,14,13.3
-149.916865463,61.1922521820001,Anchorage,Aquarian Charter School,Anchorage School District,2013,,,,372,0,372,No,23,18.2
-147.690692897,64.8272704130001,Fort Wainwright,Arctic Light Elementary,Fairbanks North Star Borough School District,2013,,,,550,0,550,No,35,17.5
-145.535539814,68.128457736,Arctic Village,Arctic Village School,Yukon Flats School District,2013,,,,17,8,25,Yes,3,9.2
-161.817283577,59.0120067350001,Platinum,Arviq School,Lower Kuskokwim School District,2013,,,,17,1,18,Yes,2,16.5
-134.647850763,58.388790801,Juneau,Auke Bay Elementary,Juneau School District,2013,,,,332,0,332,No,23,16.3
-159.550107486,61.5806004660001,Aniak,Auntie Mary Nicoli Elementary,Kuspuk School District,2013,,,,71,0,71,No,7,11.7
-151.254833137,60.5541422220001,Soldotna,Aurora Borealis Charter School,Kenai Peninsula Borough School District,2013,,,,190,0,190,No,12,16
-149.863531833,61.2372309570001,Joint Base Elmendorf-Richardson,Aurora Elementary,Anchorage School District,2013,,,,392,0,392,No,28,15.1
-149.886960889,61.217884736,Anchorage,Avail School,(Not Available),2013,,,,6,59,65,Yes,(Not Available),(Not Available)
-162.88706256,59.9594420830001,Kongiganak,Ayagina'ar Elitnaurvik,Lower Kuskokwim School District,2013,,,,103,29,132,Yes,10,13.2
-161.770558516,60.8021066650001,Bethel,Ayaprun Elitnaurvik,Lower Kuskokwim School District,2013,,,,170,0,170,No,11,15.5
-164.629415852,60.9368670550001,Newtok,Ayaprun School,Lower Kuskokwim School District,2013,,,,100,39,139,Yes,14,16.2
-147.412614955,64.804567008,North Pole,Badger Road Elementary,(Not Available),2013,,,,502,0,502,No,(Not Available),(Not Available)
-135.330701829,57.053022711,Sitka,Baranof Elementary,Sitka School District,2013,,,,230,0,230,No,23,10.8
-147.730151139,64.8381687610001,Fairbanks,Barnette Magnet School,Fairbanks North Star Borough School District,2013,,,,419,0,419,No,30,16.6
-156.769160076,71.2893237750001,Utqiagvik,Barrow High School,North Slope Borough School District,2013,,,,0,210,210,Yes,19,11.4
-132.40506918,55.539843181,Kasaan,Barry Craig Stewart Kasaan School,Southeast Island School District,2013,,,,10,0,10,No,2,6.7
-149.733125608,61.232239656,Joint Base Elmendorf-Richardson,Bartlett High School,Anchorage School District,2013,,,,0,1666,1666,Yes,80,20.7
-149.761286204,61.193251843,Anchorage,Baxter Elementary,Anchorage School District,2013,,,,385,0,385,No,29,14.6
-149.94033501,61.1254180160001,Anchorage,Bayshore Elementary,Anchorage School District,2013,,,,498,0,498,No,34,15.4
-149.749293654,61.084048565,Rabbit Creek,Bear Valley Elementary,Anchorage School District,2013,,,,410,0,410,No,26,16.3
-147.074480649,64.674686229,Harding-Birch Lakes,Ben Eielson Jr/Sr High School,Fairbanks North Star Borough School District,2013,,,,155,260,415,Yes,35,12.2
-149.759367922,61.1796290450001,Anchorage,Benson Secondary/S.E.A.R.C.H.,Anchorage School District,2013,,,,3,280,283,Yes,16,17.5
-150.138978826,61.704349489,Willow,Beryozova School,Matanuska-Susitna Borough School District,2013,,,,13,9,22,Yes,2,22
-161.770558516,60.8021066650001,Bethel,Bethel Regional High School,Lower Kuskokwim School District,2013,,,,208,300,508,Yes,34,15.5
-161.770558516,60.8021066650001,Bethel,Bethel Youth Facility,Lower Kuskokwim School District,2013,,,,2,11,13,Yes,3,4.3
-149.819503918,61.5393022970001,Big Lake,Big Lake Elementary,Matanuska-Susitna Borough School District,2013,,,,404,0,404,No,22,27.8
-149.273776277,61.5981189820001,Wasilla,Birchtree Charter School,Matanuska-Susitna Borough School District,2013,,,,309,0,309,No,10,33.2
-149.531744118,61.374220006,Birchwood,Birchwood ABC Elementary,Anchorage School District,2013,,,,342,0,342,No,22,16.8
-160.194535351,62.649077538,Anvik,Blackwell School,Iditarod Area School District,2013,,,,22,1,23,Yes,4,10.1
-135.34452659,57.056236094,Sitka,Blatchley Middle School,Sitka School District,2013,,,,312,0,312,No,25,13.4
-149.845595052,61.1149325390001,Anchorage,Bowman Elementary,Anchorage School District,2013,,,,442,0,442,No,34,14.3
-166.487926322,65.333271353,Brevig Mission,Brevig Mission School,Bering Strait School District,2013,,,,85,29,114,Yes,13,10.6
-157.00517662,58.7330769280001,South Naknek,Bristol Bay Middle/High School,Bristol Bay Borough School District,2013,,,,26,50,76,Yes,10,9.9
-161.125514155,65.977964958,Buckland,Buckland School,Northwest Arctic Borough School District,2013,,,,111,45,156,Yes,16,13
-149.494959134,61.5799759880001,Wasilla,Burchell High School,Matanuska-Susitna Borough School District,2013,,,,0,175,175,Yes,11,21.5
-149.006088115,61.5364671140001,Knik River,Butte Elementary,Matanuska-Susitna Borough School District,2013,,,,278,0,278,No,14,24.3
-149.900822851,61.1547729650001,Anchorage,Campbell Elementary,(Not Available),2013,,,,368,0,368,No,(Not Available),(Not Available)
-148.895410986,63.3924269300001,Cantwell,Cantwell School,Denali Borough School District,2013,,,,15,7,22,Yes,8,6.3
-149.889393142,61.208100179,Joint Base Elmendorf-Richardson,Central Middle School of Science,Anchorage School District,2013,,,,547,0,547,No,34,16.9
-151.83385261,59.776532553,Anchor Point,Chapman School,Kenai Peninsula Borough School District,2013,,,,103,0,103,No,15,8
-164.282456951,60.157566516,Chefornak,Chaputnguak School,Lower Kuskokwim School District,2013,,,,110,50,160,Yes,14,14.8
-131.577138094,55.1273490290001,Metlakatla,Charles R. Leask Sr. Middle School,Annette Island School District,2013,,,,69,0,69,No,12,12.2
-134.584679653,57.497714886,Angoon,Chatham Correspondence,Chatham School District,2013,,,,2,0,2,No,2,5
-148.012362666,60.0655983360001,Chenega,Chenega Bay School,(Not Available),2013,,,,8,4,12,Yes,(Not Available),(Not Available)
-149.747393077,61.2047112600001,Anchorage,Chester Valley Elementary,Anchorage School District,2013,,,,227,0,227,No,15,15.6
-165.585852472,61.530999207,Chevak,Chevak School,Kashunamiut School District,2013,,,,229,79,308,Yes,26,12.6
-157.312956094,59.450284917,New Stuyahok,Chief Ivan Blunka School,Southwest Region School District,2013,,,,89,37,126,Yes,13,10.3
-164.037936291,59.9363886560001,Kipnuk,Chief Paul Memorial School,Lower Kuskokwim School District,2013,,,,150,40,190,Yes,14,13.7
-158.414175609,56.301263889,Chignik,Chignik Bay School,Lake and Peninsula Borough School District,2013,,,,6,5,11,Yes,5,0
-158.537760386,56.310428314,Chignik Lagoon,Chignik Lagoon School,Lake and Peninsula Borough School District,2013,,,,7,5,12,Yes,5,4.5
-158.763081549,56.253733018,Chignik Lake,Chignik Lake School,Lake and Peninsula Borough School District,2013,,,,8,8,16,Yes,3,8
-152.222813758,57.6179759070001,Chiniak,Chiniak School,Kodiak Island Borough School District,2013,,,,11,1,12,Yes,3,6
-149.939450289,61.1416084270001,Anchorage,Chinook Elementary,Anchorage School District,2013,,,,490,0,490,No,33,16.1
-147.752134197,64.8195763570001,Fairbanks,Chinook Montessori Charter School,Fairbanks North Star Borough School District,2013,,,,153,0,153,No,9,21.1
-149.890837304,61.210327105,Anchorage,Chugach Optional Elementary,Anchorage School District,2013,,,,257,0,257,No,17,18.5
-149.463902305,61.4005595680001,Peters Creek,Chugiak Elementary,Anchorage School District,2013,,,,448,0,448,No,28,15.9
-149.536243275,61.369951874,Joint Base Elmendorf-Richardson,Chugiak High School,Anchorage School District,2013,,,,0,1152,1152,Yes,61,19
-144.066776071,65.826648891,Circle,Circle School,Yukon Flats School District,2013,,,,14,8,22,Yes,2,10.9
-149.811084159,61.2226176180001,Joint Base Elmendorf-Richardson,Clark Middle School,Anchorage School District,2013,,,,1172,0,1172,No,67,17.9
-162.719574371,55.2047243260001,Cold Bay,Cold Bay School,Aleutians East Borough School District,2013,,,,9,0,9,No,1,8.5
-149.783169556,61.1926778480001,Anchorage,College Gate Elementary,Anchorage School District,2013,,,,358,0,358,No,26,14.9
-149.212544217,61.608262563,Lakes,Colony High School,Matanuska-Susitna Borough School District,2013,,,,0,1109,1109,Yes,56,29.7
-149.219582333,61.608915552,Lakes,Colony Middle School,Matanuska-Susitna Borough School District,2013,,,,632,0,632,No,33,29.8
-151.06842857,60.4909289240001,Soldotna,Connections,Kenai Peninsula Borough School District,2013,,,,551,336,887,Yes,17,65
-149.808429511,60.494874458,Sunrise,Cooper Landing School,Kenai Peninsula Borough School District,2013,,,,11,1,12,Yes,5,10.2
-145.305299301,61.954997242,Copper Center,Copper Center School,Copper River School District,2013,,,,22,0,22,No,3,7.5
-145.759364604,60.540613428,Cordova,Cordova Jr/Sr High School,Cordova City School District,2013,,,,44,108,152,Yes,15,13.6
-149.359957612,61.5891344980001,Wasilla,Cottonwood Creek Elementary,Matanuska-Susitna Borough School District,2013,,,,421,0,421,No,19,25.9
-133.1374751,55.4763434000001,Craig,Craig Alternative High School,Craig City School District,2013,,,,0,5,5,Yes,3,55.6
-133.137453642,55.475522519,Craig,Craig Elementary,Craig City School District,2013,,,,156,0,156,No,16,11.8
-133.128441419,55.4885025830001,Craig,Craig High School,Craig City School District,2013,,,,0,91,91,Yes,11,10.1
-133.137292709,55.476290195,Craig,Craig Middle School,Craig City School District,2013,,,,65,0,65,No,10,10.3
-147.072319963,64.6725988920001,Moose Creek,Crawford Elementary,Fairbanks North Star Borough School District,2013,,,,302,0,302,No,18,18.3
-149.74214981,61.216353482,Anchorage,Creekside Park Elementary,Anchorage School District,2013,,,,461,0,461,No,31,15.5
-149.759367922,61.1796290450001,Anchorage,Crossroads School,Anchorage School District,2013,,,,0,33,33,Yes,2,17.4
-159.244998141,61.571941182,Chuathbaluk,Crow Village Sam School,Kuspuk School District,2013,,,,16,8,24,Yes,4,6.8
-147.397176395,66.3603501970001,Beaver,Cruikshank School,Yukon Flats School District,2013,,,,8,4,12,Yes,1,10.8
-149.088293029,64.5618628190001,Nenana,CyberLynx Correspondence Program,Nenana City School District,2013,,,,319,474,793,Yes,11,126.7
-160.065750998,62.9056522280001,Grayling,David Louis Memorial School,Iditarod Area School District,2013,,,,30,6,36,Yes,4,9.7
-160.011855617,66.604594637,Selawik,Davis-Ramoth School,Northwest Arctic Borough School District,2013,,,,197,52,249,Yes,15,16.2
-162.719717761,66.0748371190001,Deering,Deering School,Northwest Arctic Borough School District,2013,,,,24,11,35,Yes,5,10
-145.710914825,64.04012076,Delta Junction,Delta Junction Elementary,Delta/Greely School District,2013,,,,250,0,250,No,18,15.2
-145.713243427,64.0441028980001,Delta Junction,Delta/Greely Homeschool,Delta/Greely School District,2013,,,,55,24,79,Yes,1,78.8
-147.748491015,64.8400565270001,Fairbanks,Denali Elementary,Fairbanks North Star Borough School District,2013,,,,395,0,395,No,26,16.9
-147.748491015,64.8400565270001,Fairbanks,Denali Elementary,Fairbanks North Star Borough School District,2013,,,,410,0,410,No,26,16.9
-149.014222597,63.8731108750001,Healy,Denali PEAK,Denali Borough School District,2013,,,,506,157,663,Yes,8,152.1
-158.464701219,59.042584488,Dillingham,Dillingham Correspondence School,Dillingham City School District,2013,,,,5,3,8,Yes,2,88
-158.467053625,59.0436233040001,Dillingham,Dillingham Elementary,Dillingham City School District,2013,,,,202,0,202,No,23,9.8
-158.464747569,59.042321352,Dillingham,Dillingham Middle/High School,Dillingham City School District,2013,,,,118,150,268,Yes,25,11.8
-149.934839529,61.142921243,Anchorage,Dimond High School,Anchorage School District,2013,,,,0,1709,1709,Yes,86,21.1
-168.951473066,65.758909171,Diomede,Diomede School,Bering Strait School District,2013,,,,28,8,36,Yes,6,8
-149.56501663,61.335617659,McGrath,Distance Learning/Corresp. Ctr.,Iditarod Area School District,2013,,,,37,16,53,Yes,7,25
-144.058880104,63.65794054,Dot Lake,Dot Lake School,Alaska Gateway School District,2013,,,,5,5,10,Yes,2,5.2
-134.514498392,58.3629890350001,Thane,Dzantik'i Heeni Middle School,Juneau School District,2013,,,,490,0,490,No,29,17.3
-149.579561105,61.319076018,Eagle River,Eagle Academy Charter School,Anchorage School District,2013,,,,163,0,163,No,11,18.5
-141.202670551,64.786855148,Eagle Village,Eagle Community School,Alaska Gateway School District,2013,,,,15,4,19,Yes,3,8
-149.569690079,61.31917558,Eagle River,Eagle River Elementary,Anchorage School District,2013,,,,366,0,366,No,29,15.8
-149.572571535,61.2982587020001,Eagle River,Eagle River High School,Anchorage School District,2013,,,,0,894,894,Yes,47,21.1
-166.53011348,53.872837502,Unalaska,Eagle's View Elementary School,Unalaska City School District,2013,,,,224,0,224,No,20,13.8
-152.367568383,57.8050437700001,Kodiak,East Elementary,Kodiak Island Borough School District,2013,,,,294,0,294,No,23,13.6
-149.804991646,61.1997721970001,Anchorage,East High School,Anchorage School District,2013,,,,0,2141,2141,Yes,113,19.9
-156.743840024,71.298455892,Utqiagvik,Eben Hopson Middle School,North Slope Borough School District,2013,,,,221,0,221,No,18,12.6
-133.664481886,55.948168885,Edna Bay,Edna Bay School,Southeast Island School District,2013,,,,7,4,11,Yes,3,9.2
-162.025821073,60.2158489810001,Eek,Eek School,Lower Kuskokwim School District,2013,,,,74,26,100,Yes,11,13.9
-147.840520381,64.8477144940001,Fairbanks,Effie Kokrine Charter School,Fairbanks North Star Borough School District,2013,,,,61,86,147,Yes,11,15.2
-157.376171256,58.2110949020001,Egegik,Egegik School,Lake and Peninsula Borough School District,2013,,,,7,7,14,Yes,3,7.1
-157.704333837,64.8815899140001,Koyukuk,Ella B. Vernetti School,Yukon-Koyukuk School District,2013,,,,11,0,11,No,4,3.3
-164.529067669,62.778791045,Emmonak,Emmonak School,Lower Yukon School District,2013,,,,157,55,212,Yes,16,13.1
-132.374909432,56.4725764980001,Wrangell,Evergreen Elementary,Wrangell Public School District,2013,,,,132,0,132,No,11,14.1
-165.407642198,64.5422562320001,Nome,Extensions Correspondence,Nome School District,2013,,,,6,5,11,Yes,1,200
-147.692754975,64.8469044560001,Fairbanks,Fairbanks B.E.S.T.,Fairbanks North Star Borough School District,2013,,,,108,159,267,Yes,1,1339.3
-149.856005265,61.2102004170001,Anchorage,Fairview Elementary,Anchorage School District,2013,,,,404,0,404,No,32,14.1
-163.411929204,54.854852991,False Pass,False Pass School,Aleutians East Borough School District,2013,,,,9,1,10,Yes,1,10
-149.889859559,61.1797689370001,Anchorage,Family Partnership Charter School,Anchorage School District,2013,,,,281,238,519,Yes,19,45.1
-131.677967669,55.3535714290001,Ketchikan,Fast Track,Ketchikan Gateway Borough School District,2013,,,,35,36,71,Yes,1,169.1
-131.569415499,55.3119500230001,Pennock Island,Fawn Mountain Elementary,Ketchikan Gateway Borough School District,2013,,,,246,0,246,No,21,11.7
-149.304389089,61.6090130690001,Wasilla,Finger Lake Elementary,Matanuska-Susitna Borough School District,2013,,,,292,0,292,No,15,20
-149.546964354,61.3435658930001,Anchorage,Fire Lake Elementary,Anchorage School District,2013,,,,347,0,347,No,22,17.4
-151.568344903,59.643761963,Homer,Fireweed Academy,Kenai Peninsula Borough School District,2013,,,,111,0,111,No,8,13.7
-134.568192528,58.3880562850001,Juneau,Floyd Dryden Middle School,Juneau School District,2013,,,,577,0,577,No,37,16.4
-149.847648513,61.136594562,Anchorage,FOCUS Homeschool,Chugach School District,2013,,,,175,50,225,Yes,4,55.4
-145.73199,63.9555500000001,Fort Greely,Fort Greely School,Delta/Greely School District,2013,,,,290,0,290,No,20,15.6
-145.252468554,66.564421818,Fort Yukon,Fort Yukon School,Yukon Flats School District,2013,,,,91,26,117,Yes,14,8.2
-149.324825781,61.5483503350001,Wasilla,Fred and Sara Machetanz Elementary School,Matanuska-Susitna Borough School District,2013,,,,397,0,397,No,18,22.5
-156.754241631,71.291202851,Utqiagvik,Fred Ipalook Elementary,North Slope Borough School District,2013,,,,494,0,494,No,34,14.9
-149.35745729,61.605753006,Wasilla,Fronteras Charter School,Matanuska-Susitna Borough School District,2013,,,,220,0,220,No,10,46.7
-149.891207735,61.1947351520001,Anchorage,Frontier Charter School,Anchorage School District,2013,,,,143,192,335,Yes,2,171.5
-156.954343331,64.7417917920001,Galena,Galena Interior Learning Academy (GILA),Galena City School District,2013,,,,0,217,217,Yes,13,17.1
-171.715218573,63.7768756500001,Gambell,Gambell School,Bering Strait School District,2013,,,,140,52,192,Yes,19,11.6
-134.401101179,58.2793941410001,Douglas,Gastineau Elementary,(Not Available),2013,,,,294,0,294,No,(Not Available),(Not Available)
-146.35982159,61.138251563,Valdez,George H. Gilson Middle School,Valdez City School District,2013,,,,137,0,137,No,15,13.4
-160.347298303,61.532523487,Lower Kalskag,George Morgan Sr. H.S.,Kuspuk School District,2013,,,,24,38,62,Yes,6,11.1
-144.860566466,63.8604775430001,Gold Sand Acres,Gerstle River School,Delta/Greely School District,2013,,,,21,0,21,No,2,10.5
-149.127519663,60.9686191340001,Portage,Girdwood School,Anchorage School District,2013,,,,178,0,178,No,13,16.4
-134.571533118,58.3830031520001,Juneau,Glacier Valley Elementary,Juneau School District,2013,,,,366,0,366,No,27,14.9
-147.726029756,61.79347155,Glacier View,Glacier View School,Matanuska-Susitna Borough School District,2013,,,,28,15,43,Yes,5,11.6
-150.637191326,64.995888086,Manley Hot Springs,Gladys Dart School,Yukon-Koyukuk School District,2013,,,,9,5,14,Yes,2,7
-161.770558516,60.8021066650001,Bethel,Gladys Jung Elementary,Lower Kuskokwim School District,2013,,,,322,0,322,No,22,15.7
-149.935356326,61.1572709000001,Anchorage,Gladys Wood Elementary,Anchorage School District,2013,,,,404,0,404,No,29,15.9
-145.527805648,62.112670757,Tolsona,Glennallen Elementary,Copper River School District,2013,,,,135,0,135,No,9,16
-145.527805648,62.112670757,Tazlina,Glennallen Jr/Sr High School,Copper River School District,2013,,,,50,98,148,Yes,11,16.1
-149.778340193,61.0780692160001,Anchorage,Goldenview Middle School,Anchorage School District,2013,,,,742,0,742,No,44,17.3
-149.61117012,61.540545416,Point MacKenzie,Goose Bay Elementary,Matanuska-Susitna Borough School District,2013,,,,459,0,459,No,18,26.1
-149.870510856,61.2336399760001,Anchorage,Government Hill Elementary,Anchorage School District,2013,,,,472,0,472,No,29,17.8
-149.548424415,61.3066669300001,Joint Base Elmendorf-Richardson,Gruening Middle School,Anchorage School District,2013,,,,603,0,603,No,36,17.4
-135.710421728,58.4188610840001,Gustavus,Gustavus School,Chatham School District,2013,,,,46,7,53,Yes,7,9.3
-156.588255084,61.7871561910001,Stony River,Gusty Michael School,Kuspuk School District,2013,,,,7,2,9,Yes,1,7.9
-135.452966947,59.2345043130001,Lutak,Haines Elementary,Haines Borough School District,2013,,,,168,0,168,No,16,14
-135.452966947,59.2345043130001,Lutak,Haines High School,Haines Borough School District,2013,,,,0,99,99,Yes,12,10.4
-135.452966947,59.2345043130001,Haines,Haines Home School,Haines Borough School District,2013,,,,9,1,10,Yes,2,42
-149.830594838,61.1303820000001,Anchorage,Hanshew Middle School,Anchorage School District,2013,,,,791,0,791,No,49,16.8
-134.425642807,58.303132669,Thane,Harborview Elementary,Juneau School District,2013,,,,498,0,498,No,38,14.7
-143.615923293,70.127577451,Kaktovik,Harold Kaveolook School,North Slope Borough School District,2013,,,,36,15,51,Yes,9,5.8
-146.374406161,61.1327048730001,Valdez,Hermon Hutchens Elementary,Valdez City School District,2013,,,,290,0,290,No,24,12.9
-170.476739188,63.6964648750001,Savoonga,Hogarth Kingeekuk Sr. Memorial School,Bering Strait School District,2013,,,,154,58,212,Yes,22,10.5
-132.650042013,55.4822367960001,Hollis,Hollis School,Southeast Island School District,2013,,,,9,1,10,Yes,2,9.5
-159.76840674,62.2006099590001,Holy Cross,Holy Cross School,(Not Available),2013,,,,38,5,43,Yes,(Not Available),(Not Available)
-134.426662987,58.3035103060001,Juneau,HomeBRIDGE,Juneau School District,2013,,,,18,37,55,Yes,1,58.3
-151.519270677,59.6497795990001,Homer,Homer Flex School,Kenai Peninsula Borough School District,2013,,,,0,26,26,Yes,6,7.1
-151.527965868,59.6517259120001,Kachemak,Homer High School,Kenai Peninsula Borough School District,2013,,,,0,437,437,Yes,31,16.1
-151.555093006,59.643273096,Diamond Ridge,Homer Middle School,Kenai Peninsula Borough School District,2013,,,,186,0,186,No,17,12.9
-149.546643546,61.31492697,Eagle River,Homestead Elementary,Anchorage School District,2013,,,,311,0,311,No,26,13.2
-135.442680545,58.1086472200001,Hoonah,Hoonah Elementary,Hoonah City School District,2013,,,,63,0,63,No,8,9.7
-135.442680545,58.1086472200001,Hoonah,Hoonah Jr/Sr High School,Hoonah City School District,2013,,,,23,30,53,Yes,9,9.1
-166.096075059,61.5217655600001,Hooper Bay,Hooper Bay School,Lower Yukon School District,2013,,,,316,83,399,Yes,30,13.2
-149.622251849,60.9179345920001,Hope,Hope School,Kenai Peninsula Borough School District,2013,,,,8,7,15,Yes,9,11
-131.682668805,55.355299222,Ward Cove,Houghtaling Elementary,Ketchikan Gateway Borough School District,2013,,,,314,0,314,No,26,12.4
-149.76966475,61.5899756800001,Houston,Houston High School,Matanuska-Susitna Borough School District,2013,,,,0,397,397,Yes,26,23.8
-149.77240826,61.5869835130001,Houston,Houston Middle School,Matanuska-Susitna Borough School District,2013,,,,370,0,370,No,22,27
-132.827971678,56.0141448630001,Coffman Cove,Howard Valentine Coffman Cove School,Southeast Island School District,2013,,,,11,2,13,Yes,3,12.2
-149.808146146,61.1113269040001,Anchorage,Huffman Elementary,Anchorage School District,2013,,,,376,0,376,No,27,15.9
-147.730023365,64.8324341470001,Fairbanks,Hunter Elementary,Fairbanks North Star Borough School District,2013,,,,357,0,357,No,25,15.7
-147.815934414,64.8503059320001,Fairbanks,Hutchison High School,Fairbanks North Star Borough School District,2013,,,,0,372,372,Yes,28,14.5
-132.82605129,55.2071083050001,Hydaburg,Hydaburg School,Hydaburg City School District,2013,,,,37,15,52,Yes,9,7.5
-149.438218452,61.589624223,Wasilla,Iditarod Elementary,Matanuska-Susitna Borough School District,2013,,,,357,0,357,No,14,26
-155.903561779,59.325348128,Igiugig,Igiugig School,Lake and Peninsula Borough School District,2013,,,,15,5,20,Yes,4,8.9
-149.906773691,61.2101961070001,Anchorage,Inlet View Elementary,Anchorage School District,2013,,,,261,0,261,No,16,19.2
-159.532797686,62.654741975,Shageluk,Innoko River School,Iditarod Area School District,2013,,,,10,2,12,Yes,4,4.7
-147.7685925,64.8129324910001,Galena,Interior Distance Education of Alaska (IDEA),Galena City School District,2013,,,,2555,915,3470,Yes,39,113.9
-157.170408924,61.7026810340001,Sleetmute,Jack Egnaty Sr. School,Kuspuk School District,2013,,,,15,3,18,Yes,3,7.8
-166.366998864,65.263650704,Teller,James C. Isabell School,Bering Strait School District,2013,,,,43,24,67,Yes,13,7.1
-156.389227456,65.7018061210001,Huslia,Jimmy Huntington School,Yukon-Koyukuk School District,2013,,,,56,28,84,Yes,9,9.8
-162.276409809,60.8573024790001,Atmautluak,Joann A. Alexie Memorial School,Lower Kuskokwim School District,2013,,,,87,23,110,Yes,10,13.4
-146.414213257,67.0155829490001,Venetie,John Fredson School,Yukon Flats School District,2013,,,,46,13,59,Yes,6,11.3
-149.357789023,61.6271567270001,Wasilla,John Shaw Elementary,Matanuska-Susitna Borough School District,2013,,,,406,0,406,No,17,24.6
-158.105839655,61.870425626,Crooked Creek,Johnnie John Sr. School,Kuspuk School District,2013,,,,11,6,17,Yes,4,5.3
-154.255597264,66.048896556,Hughes,Johnny Oldman School,Yukon-Koyukuk School District,2013,,,,6,6,12,Yes,2,6.7
-134.467889196,58.3288861520001,Juneau,Johnson Youth Center,Juneau School District,2013,,,,0,8,8,Yes,5,1.8
