Longitude,Latitude,Community,School,SchoolDistrict,Year,In_Cohort,Graduates,GraduationRate,K8Enrollment,HSEnrollment,TotalEnrollmentK12,Is_HighSchool,TotalTeacherCount,StudentTeacherRatio
-156.588255084,61.7871561910001,Stony River,Gusty Michael School,Kuspuk School District,2018,1,1,1.0,12,2,14,Yes,2,12
-135.452966947,59.2345043130001,Lutak,Haines Elementary,Haines Borough School District,2018,,,,177,0,177,No,14,15.55
-135.452966947,59.2345043130001,Lutak,Haines High School,Haines Borough School District,2018,20,17,0.85,0,78,78,Yes,11,11.24
-135.452966947,59.2345043130001,Haines,Haines Home School,Haines Borough School District,2018,3,1,0.3333,14,5,19,Yes,1,118.75
-149.830594838,61.1303820000001,Anchorage,Hanshew Middle School,Anchorage School District,2018,,,,682,0,682,No,42,17.73
-134.425642807,58.303132669,Thane,Harborview Elementary,Juneau School District,2018,,,,328,0,328,No,31,13.32
-143.615923293,70.127577451,Kaktovik,Harold Kaveolook School,North Slope Borough School District,2018,6,6,1.0,46,13,59,Yes,6,11.17
-146.374406161,61.1327048730001,Valdez,Hermon Hutchens Elementary,Valdez City School District,2018,,,,302,0,302,No,27,11.71
-149.776030699,61.194076539,Anchorage,Highland Academy Charter,Anchorage School District,2018,23,15,0.6522,62,99,161,Yes,11,14.65
-170.476739188,63.6964648750001,Savoonga,Hogarth Kingeekuk Sr. Memorial School,Bering Strait School District,2018,19,10,0.5263,170,82,252,Yes,20,13.45
-132.650042013,55.4822367960001,Hollis,Hollis School,Southeast Island School District,2018,0,0,,15,5,20,Yes,3,10.73
-159.76840674,62.2006099590001,Holy Cross,Holy Cross School,(Not Available),2018,2,2,1.0,22,8,30,Yes,(Not Available),(Not Available)
-134.426662987,58.3035103060001,Juneau,HomeBRIDGE,Juneau School District,2018,5,1,0.2,9,31,40,Yes,1,80
-151.519270677,59.6497795990001,Homer,Homer Flex School,Kenai Peninsula Borough School District,2018,14,9,0.6429,0,29,29,Yes,6,7.21
-151.527965868,59.6517259120001,Kachemak,Homer High School,Kenai Peninsula Borough School District,2018,87,77,0.8851,0,404,404,Yes,38,15.34
-151.555093006,59.643273096,Diamond Ridge,Homer Middle School,Kenai Peninsula Borough School District,2018,,,,192,0,192,No,17,14.41
-149.546643546,61.31492697,Eagle River,Homestead Elementary,Anchorage School District,2018,,,,324,0,324,No,23,17.11
-135.442680545,58.1086472200001,Hoonah,Hoonah Elementary,Hoonah City School District,2018,,,,58,0,58,No,6,15.63
-135.442680545,58.1086472200001,Hoonah,Hoonah Jr/Sr High School,Hoonah City School District,2018,9,9,1.0,28,30,58,Yes,7,11.81
-166.096075059,61.5217655600001,Hooper Bay,Hooper Bay School,Lower Yukon School District,2018,33,16,0.4848,350,104,454,Yes,30,15.2
-149.622251849,60.9179345920001,Hope,Hope School,Kenai Peninsula Borough School District,2018,0,0,,15,2,17,Yes,5,14.91
-131.682668805,55.355299222,Ward Cove,Houghtaling Elementary,Ketchikan Gateway Borough School District,2018,,,,344,0,344,No,26,14.08
-149.76966475,61.5899756800001,Houston,Houston High School,Matanuska-Susitna Borough School District,2018,85,66,0.7765,0,373,373,Yes,22,17.06
-149.77240826,61.5869835130001,Houston,Houston Middle School,Matanuska-Susitna Borough School District,2018,,,,382,0,382,No,23,16.61
-132.827971678,56.0141448630001,Coffman Cove,Howard Valentine Coffman Cove School,Southeast Island School District,2018,0,0,,11,3,14,Yes,2,11.54
-149.808146146,61.1113269040001,Anchorage,Huffman Elementary,Anchorage School District,2018,,,,367,0,367,No,28,15.12
-147.730023365,64.8324341470001,Fairbanks,Hunter Elementary,Fairbanks North Star Borough School District,2018,,,,363,0,363,No,21,17.86
-147.815934414,64.8503059320001,Fairbanks,Hutchison High School,Fairbanks North Star Borough School District,2018,96,91,0.9479,0,409,409,Yes,26,16.04
-132.82605129,55.2071083050001,Hydaburg,Hydaburg School,Hydaburg City School District,2018,6,4,0.6667,54,20,74,Yes,8,11.39
-130.025533018,55.9157571750001,Hyder,Hyder School,Southeast Island School District,2018,0,0,,9,2,11,Yes,4,5.5
-149.438218452,61.589624223,Wasilla,Iditarod Elementary,Matanuska-Susitna Borough School District,2018,,,,416,0,416,No,28,15.64
-155.903561779,59.325348128,Igiugig,Igiugig School,Lake and Peninsula Borough School District,2018,2,1,0.5,14,4,18,Yes,4,6.69
-149.906773691,61.2101961070001,Anchorage,Inlet View Elementary,Anchorage School District,2018,,,,242,0,242,No,19,17.29
-159.532797686,62.654741975,Shageluk,Innoko River School,Iditarod Area School District,2018,,,,12,1,13,Yes,2,9.57
-147.7685925,64.8129324910001,Galena,Interior Distance Education of Alaska (IDEA),Galena City School District,2018,359,282,0.7855,2897,1237,4134,Yes,36,126.33
-157.170408924,61.7026810340001,Sleetmute,Jack Egnaty Sr. School,Kuspuk School District,2018,0,0,,16,1,17,Yes,3,6.48
-166.366998864,65.263650704,Teller,James C. Isabell School,Bering Strait School District,2018,4,4,1.0,51,22,73,Yes,8,10.5
-156.389227456,65.7018061210001,Huslia,Jimmy Huntington School,Yukon-Koyukuk School District,2018,4,4,1.0,62,12,74,Yes,8,9.55
-162.276409809,60.8573024790001,Atmautluak,Joann A. Alexie Memorial School,Lower Kuskokwim School District,2018,9,3,0.3333,71,35,106,Yes,8,14.69
-149.702654268,61.501223209,Wasilla,Joe Redington Senior Jr/Sr High School,Matanuska-Susitna Borough School District,2018,42,36,0.8571,355,257,612,Yes,33,18.55
-146.414213257,67.0155829490001,Venetie,John Fredson School,Yukon Flats School District,2018,5,2,0.4,41,17,58,Yes,4,15
-149.357789023,61.6271567270001,Wasilla,John Shaw Elementary,Matanuska-Susitna Borough School District,2018,,,,417,0,417,No,25,18.33
-158.105839655,61.870425626,Crooked Creek,Johnnie John Sr. School,Kuspuk School District,2018,1,0,0.0,19,3,22,Yes,2,21.6
-154.255597264,66.048896556,Hughes,Johnny Oldman School,Yukon-Koyukuk School District,2018,1,1,1.0,14,2,16,Yes,1,17
-134.467889196,58.3288861520001,Juneau,Johnson Youth Center,Juneau School District,2018,5,2,0.4,3,13,16,Yes,4,4.71
-160.317622343,61.544999153,Upper Kalskag,Joseph S. & Olinga Gregory Elementary,Kuspuk School District,2018,,,,46,0,46,No,3,24
-147.723885515,64.8607416070001,Farmers Loop,Joy Elementary,Fairbanks North Star Borough School District,2018,,,,400,0,400,No,24,17.79
-162.585830837,66.9016856330001,Kotzebue,June Nelson Elementary,Northwest Arctic Borough School District,2018,,,,342,0,342,No,25,16.2
-134.427840252,58.3039216550001,Juneau,Juneau Community Charter School,Juneau School District,2018,,,,101,0,101,No,7,16.03
-134.429724872,58.305305376,Thane,Juneau-Douglas High School,Juneau School District,2018,127,114,0.8976,0,582,582,Yes,35,18.24
-151.074093501,59.7946704760001,Kachemak Selo,Kachemak Selo School,Kenai Peninsula Borough School District,2018,6,6,1.0,26,21,47,Yes,12,10.33
-133.947172158,56.977245843,Kake,Kake Elementary & High School,Kake City School District,2018,8,6,0.75,74,26,100,Yes,12,9.15
-151.279035531,60.5683226460001,Kenai,Kaleidoscope School of Arts & Science,Kenai Peninsula Borough School District,2018,,,,260,0,260,No,18,15.52
-163.009168494,69.7431215710001,Point Lay,Kali School,North Slope Borough School District,2018,7,6,0.8571,69,25,94,Yes,10,10.8
-151.142544,60.487762515,Kalifornsky,Kalifornsky Beach Elementary,Kenai Peninsula Borough School District,2018,,,,391,0,391,No,26,15.61
-158.723753052,64.3246685710001,Kaltag,Kaltag School,Yukon-Koyukuk School District,2018,2,2,1.0,19,3,22,Yes,2,13.54
-154.436862212,57.562558165,Karluk,Karluk School,Kodiak Island Borough School District,2018,1,1,1.0,4,5,9,Yes,2,4.5
-149.808212527,61.158346276,Anchorage,Kasuun Elementary,Anchorage School District,2018,,,,385,0,385,No,32,14.43
-135.350490583,57.0643556900001,Sitka,Keet Gooshi Heen Elementary,Sitka School District,2018,,,,412,0,412,No,30,13.73
-151.253824626,60.5539022410001,Soldotna,Kenai Alternative High School,Kenai Peninsula Borough School District,2018,33,13,0.3939,0,56,56,Yes,7,10.16
-151.213033101,60.5613139930001,Kenai,Kenai Central High School,Kenai Peninsula Borough School District,2018,91,84,0.9231,0,467,467,Yes,41,15.87
-151.206223696,60.5628576060001,Kenai,Kenai Middle School,Kenai Peninsula Borough School District,2018,,,,344,0,344,No,26,14.16
-145.007698909,61.726578756,Tonsina,Kenny Lake School,Copper River School District,2018,6,5,0.8333,46,21,67,Yes,8,8.38
