Longitude,Latitude,Community,Incorporation_Type,Area_Type,Borough_Census_Area,Population_2021,Road_Connection,Subsistence_Use,Essential_Air_Service,Environmentally_Threatened
-162.71498738,55.2065679500001,Cold Bay,2nd Class City,Community,Aleutians East Borough,54,No,Yes,No,Yes
-150.18959842,67.25623468,Coldfoot,Unincorporated CDP,Place of Interest,Yukon-Koyukuk Census Area,28,Yes,Yes,No,No
-147.8028,64.8569000000001,College,CDP,Place of Interest,Fairbanks North Star Borough,11622,Yes,Yes,No,No
-149.80840696,60.4948727600001,Cooper Landing,CDP,Community,Kenai Peninsula Borough,363,Yes,No,No,No
-145.3053,61.955,Copper Center,Unincorporated CDP,Community,Copper River Census Area,320,Yes,Yes,No,No
-145.41422234,62.0704106800001,Copperville,Unincorporated,Place of Interest,Copper River Census Area,0,Yes,Yes,No,No
-145.76017488,60.54406292,Cordova,Home Rule City,Community,Chugach Census Area,2545,No,Yes,Yes,No
-163.6763889,64.895,Council,Unincorporated,Place of Interest,Nome Census Area,2,No,Yes,No,No
-135.98980801,59.3937181100001,Covenant Life,CDP,Place of Interest,Haines Borough,73,Yes,Yes,No,No
-133.15108263,55.4760442100001,Craig,1st Class City,Community,Prince of Wales-Hyder Census Area,969,No,Yes,No,Yes
-158.10581652,61.8704253700001,Crooked Creek,Unincorporated CDP,Community,Bethel Census Area,88,No,Yes,No,Yes
-149.36954724,60.41930962,Crown Point,CDP,Community,Kenai Peninsula Borough,125,Yes,Yes,No,No
-134.7336438,57.94151874,Cube Cove,Unincorporated,Place of Interest,Hoonah-Angoon Census Area,0,No,Yes,No,No
-162.72884219,66.07667336,Deering,2nd Class City,Community,Northwest Arctic Borough,190,No,Yes,No,Yes
-145.73666819,64.04716726,Delta Junction,2nd Class City,Community,Southeast Fairbanks Census Area,925,Yes,No,No,No
-145.17379154,63.8871444900001,Deltana,Unincorporated CDP,Community,Southeast Fairbanks Census Area,2342,Yes,Yes,No,No
-148.91686675,63.7323200700001,Denali Park,CDP,Community,Denali Borough,160,Yes,No,No,No
-151.5575,59.6761111000001,Diamond Ridge,CDP,Community,Kenai Peninsula Borough,1336,Yes,Yes,No,No
-158.46307877,59.0393744300001,Dillingham,1st Class City,Community,Dillingham Census Area,2209,No,Yes,No,Yes
-168.95179186,65.7583525100001,Diomede,2nd Class City,Community,Nome Census Area,85,No,Yes,Yes,Yes
-144.05888081,63.65794205,Dot Lake,Unincorporated CDP,Community,Southeast Fairbanks Census Area,16,Yes,Yes,No,No
-144.04934005,63.65559219,Dot Lake Village,Unincorporated CDP,Place of Interest,Southeast Fairbanks Census Area,44,Yes,Yes,No,Yes
-134.40087082,58.2791882700001,Douglas,Locality,Place of Interest,City and Borough of Juneau,5573,No,No,No,No
-144.60181163,63.67518647,Dry Creek,Unincorporated CDP,Community,Southeast Fairbanks Census Area,58,Yes,Yes,No,No
-135.3611485,59.48035687,Dyea,Locality,Community,Municipality of Skagway,0,Yes,No,No,No
-141.2075972,64.7889396800001,Eagle,2nd Class City,Community,Southeast Fairbanks Census Area,76,Yes,Yes,No,Yes
-149.54650955,61.3151319900001,Eagle River,Locality,Place of Interest,Municipality of Anchorage,6425,Yes,Yes,No,No
-141.04578638,64.74518901,Eagle Village,Unincorporated CDP,Community,Southeast Fairbanks Census Area,49,Yes,Yes,No,No
174.1121,52.7246000000001,Eareckson Station,Unincorporated,Place of Interest,Aleutians West Census Area,232,No,No,No,No
-133.65815775,55.9551227100001,Edna Bay,2nd Class City,Community,Prince of Wales-Hyder Census Area,49,No,Yes,No,No
-162.02949727,60.2189059200001,Eek,2nd Class City,Community,Bethel Census Area,408,No,Yes,No,Yes
-157.37575053,58.2090702300001,Egegik,2nd Class City,Community,Lake and Peninsula Borough,39,No,Yes,Yes,Yes
-147.08105662,64.6701432,Eielson AFB,CDP,Place of Interest,Fairbanks North Star Borough,3194,Yes,No,No,No
-158.56082655,58.8159796400001,Ekuk,Unincorporated,Place of Interest,Dillingham Census Area,2,No,Yes,No,No
-157.47804697,59.3502442700001,Ekwok,2nd Class City,Community,Dillingham Census Area,103,No,Yes,Yes,Yes
-136.3454861,58.19391484,Elfin Cove,Unincorporated CDP,Community,Hoonah-Angoon Census Area,32,No,Yes,Yes,No
-162.26450688,64.61655211,Elim,2nd Class City,Community,Nome Census Area,345,No,Yes,No,Yes
-164.52984686,62.7769473800001,Emmonak,2nd Class City,Community,Kusilvak Census Area,861,No,Yes,No,Yes
-147.97679327,64.85543162,Ester,CDP,Community,Fairbanks North Star Borough,2516,Yes,No,No,No
-148.05533185,64.8793417300001,Ester Dome,Locality,Community,Fairbanks North Star Borough,0,,No,No,No
-147.1680556,61.9386111000001,Eureka Roadhouse,CDP,Place of Interest,Matanuska-Susitna Borough,22,Yes,Yes,No,No
-151.50578451,66.92462485,Evansville,Unincorporated CDP,Place of Interest,Yukon-Koyukuk Census Area,12,No,Yes,No,No
-135.44314779,58.41682002,Excursion Inlet,CDP,Place of Interest,Haines Borough,25,No,Yes,Yes,No
-145.6351157,60.5262940000001,Eyak,Unincorporated,Place of Interest,Chugach Census Area,131,No,Yes,No,No
-147.72124822,64.83969225,Fairbanks,Home Rule City,Community,Fairbanks North Star Borough,33522,Yes,No,No,No
-163.41473878,54.8550308600001,False Pass,2nd Class City,Community,Aleutians East Borough,397,No,Yes,Yes,Yes
-149.14533535,61.64000731,Farm Loop,CDP,Place of Interest,Matanuska-Susitna Borough,2748,Yes,Yes,No,No
-147.76059729,64.8898107300001,Farmers Loop,CDP,Place of Interest,Fairbanks North Star Borough,4681,Yes,Yes,No,No
-149.11573078,64.0170859300001,Ferry,CDP,Place of Interest,Denali Borough,17,Yes,No,No,No
-149.24867697,61.6932211800001,Fishhook,CDP,Community,Matanuska-Susitna Borough,5216,Yes,No,No,No
-158.0075,62.4536000000001,Flat,Unincorporated CDP,Place of Interest,Yukon-Koyukuk Census Area,0,No,Yes,No,No
-167.89553765,53.38509408,Fort Glenn,Unincorporated,Place of Interest,Aleutians West Census Area,0,No,No,No,No
-145.72394043,63.9918179900001,Fort Greely,Unincorporated CDP,Place of Interest,Southeast Fairbanks Census Area,363,Yes,No,No,No
-147.6436527,64.8278334500001,Fort Wainwright,Locality,Place of Interest,Fairbanks North Star Borough,11213,Yes,No,No,No
-145.24128376,66.5661669,Fort Yukon,2nd Class City,Community,Yukon-Koyukuk Census Area,508,No,Yes,No,Yes
-149.1179,64.6003000000001,Four Mile Road,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,32,Yes,Yes,No,No
-147.6183,64.9581000000001,Fox,CDP,Community,Fairbanks North Star Borough,418,Yes,No,No,No
-150.91597622,59.8535156300001,Fox River,CDP,Place of Interest,Kenai Peninsula Borough,641,Yes,Yes,No,No
-151.29865991,59.7254375000001,Fritz Creek,CDP,Community,Kenai Peninsula Borough,2282,Yes,No,No,No
-150.7622222,60.5019444000001,Funny River,CDP,Community,Kenai Peninsula Borough,1110,Yes,Yes,No,No
-145.30187315,62.3018968100001,Gakona,Unincorporated CDP,Community,Copper River Census Area,179,Yes,Yes,No,No
-156.87712316,64.7426528600001,Galena,1st Class City,Community,Yukon-Koyukuk Census Area,476,No,Yes,No,Yes
-171.71882642,63.7768845400001,Gambell,2nd Class City,Community,Nome Census Area,620,No,Yes,No,Yes
-135.50986598,58.0558686300001,Game Creek,Unincorporated CDP,Place of Interest,Hoonah-Angoon Census Area,19,No,Yes,No,No
-149.23996944,61.5740853200001,Gateway,CDP,Community,Matanuska-Susitna Borough,5905,Yes,Yes,No,No
-157.75696671,61.8887285700001,Georgetown,Unincorporated,Place of Interest,Bethel Census Area,1,No,Yes,No,No
-149.12804397,60.96775196,Girdwood,Locality,Place of Interest,Municipality of Anchorage,2438,Yes,No,No,No
-147.72600629,61.79346959,Glacier View,CDP,Community,Matanuska-Susitna Borough,239,Yes,Yes,No,No
-145.52778197,62.1126684500001,Glennallen,Unincorporated CDP,Community,Copper River Census Area,437,Yes,Yes,No,No
-145.53740671,63.9822426900001,Gold Sand Acres,Unincorporated,Community,Southeast Fairbanks Census Area,69,Yes,No,No,No
-147.87946723,64.9273104000001,Goldstream,CDP,Community,Fairbanks North Star Borough,3321,Yes,Yes,No,No
-163.03671154,64.5423909500001,Golovin,2nd Class City,Community,Nome Census Area,178,No,Yes,No,Yes
-161.58225677,59.1182251700001,Goodnews Bay,2nd Class City,Community,Bethel Census Area,249,No,Yes,No,Yes
-160.06572812,62.9064389100001,Grayling,2nd Class City,Community,Yukon-Koyukuk Census Area,210,No,Yes,No,Yes
-145.37187803,62.26858008,Gulkana,Unincorporated CDP,Community,Copper River Census Area,90,Yes,Yes,Yes,Yes
-135.73906162,58.4133428700001,Gustavus,2nd Class City,Community,Hoonah-Angoon Census Area,658,No,Yes,Yes,No
