Year,District Enrollment,School District
2018,281,Iditarod Area School District
2019,294,Iditarod Area School District
2020,292,Iditarod Area School District
2021,322,Iditarod Area School District
2013,4601,Juneau School District
2014,4496,Juneau School District
2015,4442,Juneau School District
2016,4403,Juneau School District
2017,4451,Juneau School District
2018,4363,Juneau School District
2019,4294,Juneau School District
2020,4562,Juneau School District
2021,3765,Juneau School District
2013,105,Kake City School District
2014,101,Kake City School District
2015,110,Kake City School District
2016,108,Kake City School District
2017,93,Kake City School District
2018,100,Kake City School District
2019,103,Kake City School District
2020,101,Kake City School District
2021,99,Kake City School District
2013,308,Kashunamiut School District
2014,318,Kashunamiut School District
2015,322,Kashunamiut School District
2016,332,Kashunamiut School District
2017,340,Kashunamiut School District
2018,322,Kashunamiut School District
2019,312,Kashunamiut School District
2020,302,Kashunamiut School District
2021,317,Kashunamiut School District
2013,8427,Kenai Peninsula Borough School District
2014,8296,Kenai Peninsula Borough School District
2015,9028,Kenai Peninsula Borough School District
2016,8973,Kenai Peninsula Borough School District
2017,8958,Kenai Peninsula Borough School District
2018,8845,Kenai Peninsula Borough School District
2019,8821,Kenai Peninsula Borough School District
2020,8619,Kenai Peninsula Borough School District
2021,7902,Kenai Peninsula Borough School District
2013,2201,Ketchikan Gateway Borough School District
2014,2097,Ketchikan Gateway Borough School District
2015,2360,Ketchikan Gateway Borough School District
2016,2239,Ketchikan Gateway Borough School District
2017,2287,Ketchikan Gateway Borough School District
2018,2262,Ketchikan Gateway Borough School District
2019,2233,Ketchikan Gateway Borough School District
2020,2198,Ketchikan Gateway Borough School District
2021,2052,Ketchikan Gateway Borough School District
2013,127,Klawock City School District
2014,137,Klawock City School District
2015,121,Klawock City School District
2016,114,Klawock City School District
2017,127,Klawock City School District
2018,125,Klawock City School District
2019,114,Klawock City School District
2020,126,Klawock City School District
2021,115,Klawock City School District
2013,2978,Kodiak Island Borough School District
2014,2949,Kodiak Island Borough School District
2015,3075,Kodiak Island Borough School District
2016,3067,Kodiak Island Borough School District
2017,3045,Kodiak Island Borough School District
2018,2999,Kodiak Island Borough School District
2019,3216,Kodiak Island Borough School District
2020,2605,Kodiak Island Borough School District
2021,2561,Kodiak Island Borough School District
2013,336,Kuspuk School District
2014,331,Kuspuk School District
2015,345,Kuspuk School District
2016,340,Kuspuk School District
2017,337,Kuspuk School District
2018,352,Kuspuk School District
2019,349,Kuspuk School District
2020,368,Kuspuk School District
2021,352,Kuspuk School District
2013,332,Lake and Peninsula Borough School District
2014,304,Lake and Peninsula Borough School District
2015,317,Lake and Peninsula Borough School District
2016,313,Lake and Peninsula Borough School District
2017,305,Lake and Peninsula Borough School District
2018,301,Lake and Peninsula Borough School District
2019,306,Lake and Peninsula Borough School District
2020,311,Lake and Peninsula Borough School District
2021,319,Lake and Peninsula School District
2013,4021,Lower Kuskokwim School District
2014,4095,Lower Kuskokwim School District
2015,4104,Lower Kuskokwim School District
2016,4117,Lower Kuskokwim School District
2017,4109,Lower Kuskokwim School District
2018,4123,Lower Kuskokwim School District
2019,4071,Lower Kuskokwim School District
2020,4047,Lower Kuskokwim School District
2021,3987,Lower Kuskokwim School District
2013,1669,Lower Yukon School District
2014,1685,Lower Yukon School District
2015,1728,Lower Yukon School District
2016,1959,Lower Yukon School District
2017,1948,Lower Yukon School District
2018,1930,Lower Yukon School District
2019,1916,Lower Yukon School District
2020,1933,Lower Yukon School District
2021,2034,Lower Yukon School District
2013,17105,Matanuska-Susitna Borough School District
2014,16951,Matanuska-Susitna Borough School District
2015,17573,Matanuska-Susitna Borough School District
2016,18274,Matanuska-Susitna Borough School District
2017,18604,Matanuska-Susitna Borough School District
2018,18978,Matanuska-Susitna Borough School District
2019,18871,Matanuska-Susitna Borough School District
2020,18759,Matanuska-Susitna Borough School District
2021,17935,Matanuska-Susitna Borough School District
2013,400,Mt. Edgecumbe High School
2014,405,Mt. Edgecumbe High School
2015,421,Mt. Edgecumbe High School
2016,426,Mt. Edgecumbe High School
2017,432,Mt. Edgecumbe High School
2018,424,Mt. Edgecumbe High School
2019,438,Mt. Edgecumbe High School
2020,431,Mt. Edgecumbe High School
2021,374,Mt. Edgecumbe High School
2013,1000,Nenana City School District
2014,944,Nenana City School District
2015,1010,Nenana City School District
2016,1066,Nenana City School District
2017,1074,Nenana City School District
2018,1149,Nenana City School District
2019,1264,Nenana City School District
2020,1411,Nenana City School District
2021,1843,Nenana City School District
2013,445,Nome School District
2014,435,Nome School District
2015,458,Nome School District
2016,451,Nome School District
2017,456,Nome School District
2018,463,Nome School District
2019,457,Nome School District
2020,448,Nome School District
2021,690,Nome School District
2013,1634,North Slope Borough School District
2014,1714,North Slope Borough School District
2015,1747,North Slope Borough School District
2016,1767,North Slope Borough School District
2017,1881,North Slope Borough School District
2018,1889,North Slope Borough School District
2019,1924,North Slope Borough School District
2020,1944,North Slope Borough School District
2021,1952,North Slope Borough School District
2013,1846,Northwest Arctic Borough School District
2014,1882,Northwest Arctic Borough School District
2015,1947,Northwest Arctic Borough School District
2016,2013,Northwest Arctic Borough School District
2017,1969,Northwest Arctic Borough School District
2018,1983,Northwest Arctic Borough School District
2019,1964,Northwest Arctic Borough School District
2020,1951,Northwest Arctic Borough School District
2021,1943,Northwest Arctic Borough School District
2013,17,Pelican City School District
2014,13,Pelican City School District
2015,13,Pelican City School District
2016,14,Pelican City School District
2017,10,Pelican City School District
2018,8,Pelican City School District
2019,12,Pelican City School District
2020,16,Pelican City School District
2021,11,Pelican City School District
2013,100,Petersburg Borough School District
2014,435,Petersburg Borough School District
2015,436,Petersburg Borough School District
2016,460,Petersburg Borough School District
2017,473,Petersburg Borough School District
2018,467,Petersburg Borough School District
2019,464,Petersburg Borough School District
2020,470,Petersburg Borough School District
2021,426,Petersburg Borough School District
2013,89,Pribilof School District
2015,83,Pribilof School District
2016,72,Pribilof School District
2017,59,Pribilof School District
2018,52,Pribilof School District
2019,63,Pribilof School District
2020,65,Pribilof School District
2021,58,Pribilof School District
2013,182,Saint Mary's School District
2014,198,Saint Mary's School District
2015,199,Saint Mary's School District
2016,195,Saint Mary's School District
2017,203,Saint Mary's School District
2018,182,Saint Mary's School District
2019,185,Saint Mary's School District
2020,182,Saint Mary's School District
2021,193,Saint Mary's School District
2013,1281,Sitka School District
2014,1309,Sitka School District
2015,1288,Sitka School District
2016,1365,Sitka School District
2017,1316,Sitka School District
2018,1284,Sitka School District
2019,1243,Sitka School District
2020,1235,Sitka School District
2021,1162,Sitka School District
2013,71,Skagway School District
2014,85,Skagway School District
2015,86,Skagway School District
2016,108,Skagway School District
2017,118,Skagway School District
2018,121,Skagway School District
2019,128,Skagway School District
2020,125,Skagway School District
2021,131,Skagway School District
2013,190,Southeast Island School District
2014,201,Southeast Island School District
2015,187,Southeast Island School District
2016,168,Southeast Island School District
2017,184,Southeast Island School District
2018,180,Southeast Island School District
2019,189,Southeast Island School District
2020,167,Southeast Island School District
2021,147,Southeast Island School District
2013,579,Southwest Region School District
2014,589,Southwest Region School District
2015,590,Southwest Region School District
2016,585,Southwest Region School District
2017,577,Southwest Region School District
2018,595,Southwest Region School District
2019,592,Southwest Region School District
2020,583,Southwest Region School District
2021,607,Southwest Region School District
2013,48,Tanana City School District
2014,40,Tanana City School District
2015,39,Tanana City School District
2016,37,Tanana City School District
2017,36,Tanana City School District
2018,47,Tanana City School District
2019,51,Tanana City School District
2020,33,Tanana City School District
